der	the; which; who
die	the; which; who
und	and
in	at; chunkily; in; into; on
von	by; from; of; off
den	
im	at
das	that; the; what; which; who
mit	with
des	
ist	is
er	he
zu	at; for; to; too; toward; towards; unto
als	as; at the time when; for; inasmuch; qua; than; then; when
dem	
ein	a; an; mono
für	blaze; for; in favour; per
auf	at; in; on; onto; to; up; upon
eine	an; one
wurde	became; was; were
sich	each other
auch	also; as well; too
nicht	no; noddies; non; not; Not that I remember.; un...; non
an	at; by; in; on; to
es	it
nach	according to; after; emulatesbildet; for; on; to; towards
war	was
bei	at; by; next to; on
aus	from; of; off; out; over
am	
sie	she; them; you; they
bis	as far as; by; til; till; unless; until; untill
ich	I
einer	another; any
zum	to the
werden	to grow {grew, grown}; to become {became, become}
sind	are
oder	or
wird	becomes; gets
durch	across; by; through; thru; through
dass	have a reputation for; he explained (justified) it by the fact that; he satisfied me that; I'm convinced that; I've a notion that; insomuch; it is thanks to him that; it's no wonder that; provided that; providing that; that; to make it quite clear to someone that; to make no bones about the fact that; to make the point that; to recognize that; to take the view that
einen	
zur	
einem	
aber	but; but for all that; however
über	about; above; across; at; beyond; by; dabout; of; on; over; sur; via; hyper
um	at; about
wie	as; eh; like; what; how?; what
nur	mere; only
noch	another; nor; still
so	as; so; that way; thus
unter	nether; sub; among; below; beneath; between; hypo; nether; under; underneath
hat	has
man	one; we; you
wurden	
vor	ago; ante; avant; before; from; in front of; of; pre; pre; previous
Artikel	article; articles
sein	been; being; his; its; to be {was, been}; were; being; existence
da	as; here; that; there
diese	these; this; those
kann	can; could; may; might
vom	
seine	his; its
hier	here; herein
Diskussion	argument; discuss; discussion
dieser	this
wenn	I shouldn't be at all surprised if; if; unless; what if; wheather; when; whensoever
Jahr	year
de	
dann	then
seit	ever since; since
ab	ex
seiner	
zwei	twain; two
sowie	
eines	ones
hatte	had
of	
Jahre	
was	what; what's; what
zwischen	among; amongst; between; betwixt; insinde; inter; temporary
mehr	further; more; times
the	
gegen	about; against; contrary to; toward; towards
waren	were; commodities; goods; wares
wieder	afresh; again; against
keine	neither; no; none
haben	have got to; to have {had, had}
Jahren	
schon	already; yet
Zeit	hours; terms; time
Mai	May
ersten	
gibt	gives
du	thou; you
mal	
dort	there
jedoch	however; yet
beim	near the
Stadt	urban; city; town
etwa	about; approximately; perhaps
während	as; during; when; whereas; while; whilst
drei	three
Teil	appanage; chapter; detail; part; particle; partition; scrap; tract; deal; slice; partial
bereits	already; price
habe	having; chattel
ihre	yours; your; her; hers; their; theirs
deutschen	
heute	today; today
damit	therewith; with it
alle	all; every
Wikipedia	
später	
anderen	
wo	where; where
können	to be able; to can; to know {knew, known}
seinen	
sehr	right; very
Berlin	
seinem	
ja	yea; yep; yes
ihr	your; her; hers; their; theirs; you
mir	me
liegt	couches; lies
sollte	ought; should
erste	first; leadoff
ihm	him
dieses	this; thus
diesem	
Ende	bottom; end; ending; exit; expiration; finish; quietus; tail
